domain_name,count,raw_ret1d,raw_ret5d,raw_ret20d,raw_ret60d,raw_ret125d,adj_ret1d,adj_ret5d,adj_ret20d,adj_ret60d,adj_ret125d
bullstobears.com,277,0.925,1.862,3.661,4.368,6.561,0.710,1.486,2.822,3.801,5.704
www.synergeticstocks.com,465,-0.059,1.283,5.914,12.844,24.602,-0.305,0.537,2.542,2.625,4.792
www.makingmarketguru.com,139,0.441,0.705,4.442,0.700,2.302,-0.064,0.431,4.771,2.572,6.266
www.investorplace.com,264,0.091,-0.363,-1.916,-2.247,1.306,0.142,0.396,0.224,0.919,2.314
www.affordablestock.com,730,0.061,-0.132,0.965,1.410,11.170,0.042,-0.085,1.261,2.648,13.109
www.fxfisherman.com,1789,0.013,-0.212,-0.761,-1.102,-0.896,0.090,-0.173,-0.555,-0.894,-1.352
www.a1stockpicks.com,1051,-0.058,-0.494,-1.426,-2.846,-2.773,-0.046,-0.335,-0.814,-1.292,0.186
www.thestreet.com,206,0.092,-0.686,-1.411,-0.918,3.900,-0.036,-0.520,-1.191,-0.977,0.289
www.philstockworld.com,112,-0.217,-2.619,-0.947,-3.126,4.778,-0.140,-1.038,-1.617,-4.585,0.174
